Name,Type,Mass,log(q),log(Al/X),error log(Al/X),log(Ti/X),error log(Ti/X),log(Ca/X),error log(Ca/X),log(Ni/X),error log(Ni/X),log(Fe/X),error log(Fe/X),log(Cr/X),error log(Cr/X),log(Mg/X),error log(Mg/X),log(Si/X),error log(Si/X),log(Na/X),error log(Na/X),log(O/X),error log(O/X),log(C/X),error log(C/X),log(N/X),error log(N/X),t_Al,t_Ti,t_Ca,t_Ni,t_Fe,t_Cr,t_Mg,t_Si,t_Na,t_O,t_C,t_N
SDSSJ0002+3209,He,0.6,-5.34,0,0,0,0,-9.1,0.2,0,0,-7.9,0.2,0,0,-7.4,0.2,0,0,0,0,0,0,0,0,0,0,3715352.291,1348962.883,1513561.248,1621810.097,1479108.388,1412537.545,4168693.835,4168693.835,3715352.291,4585563.219,4585563.219,4585563.219
SDSSJ0004+0819,He,0.6,-5.51,0,0,0,0,-8.8,0.2,0,0,-7.6,0.4,0,0,-7.2,0.2,0,0,-8.88,0.407263776,0,0,0,0,0,0,2884031.503,1023292.992,1122018.454,1230268.771,1122018.454,1071519.305,3235936.569,3235936.569,2884031.503,3559530.226,3559530.226,3559530.226
SDSSJ0006+0520,He,0.6,-5.27,0,0,0,0,-9.8,0.2,0,0,-9.6,0.3,0,0,-8.6,0.5,0,0,0,0,0,0,0,0,0,0,3981071.706,1445439.771,1584893.192,1778279.41,1621810.097,1548816.619,4466835.922,4466835.922,3981071.706,4913519.514,4913519.514,4913519.514
SDSSJ0010-0430,He,0.6,-5.32,0,0,0,0,-8.5,0.1,0,0,-7,0.1,0,0,-6.7,0.1,0,0,0,0,0,0,0,0,0,0,3388441.561,1288249.552,1412537.545,1548816.619,1445439.771,1348962.883,3801893.963,3801893.963,3388441.561,4182083.359,4182083.359,4182083.359
SDSSJ0013+1109,He,0.6,-5.44,0,0,0,0,-9.2,0.4,0,0,-8,0.5,0,0,-7.5,0.4,0,0,0,0,0,0,0,0,0,0,3388441.561,1174897.555,1445439.771,1412537.545,1288249.552,1230268.771,3801893.963,3801893.963,3388441.561,4182083.359,4182083.359,4182083.359
SDSSJ0019+2209,He,0.6,-5.38,0,0,0,0,-9.7,0.2,0,0,-8.5,0.2,0,0,-8.4,0.2,0,0,-9.78,0.153179119,0,0,0,0,0,0,3801893.963,1318256.739,1778279.41,1548816.619,1445439.771,1380384.265,4265795.188,4265795.188,3801893.963,4692374.707,4692374.707,4692374.707
SDSSJ0044+0418,He,0.6,-5.3,0,0,0,0,-9.8,0.1,0,0,-8.4,0.2,0,0,-8.3,0.3,0,0,0,0,0,0,0,0,0,0,4570881.896,1513561.248,2454708.916,1819700.859,1698243.652,1584893.192,5128613.84,5128613.84,4570881.896,5641475.224,5641475.224,5641475.224
SDSSJ0046+2717,He,0.6,-5.32,0,0,0,0,-7.2,0.2,0,0,-6.3,0.3,-7.35,0.251779577,-5.4,0.2,0,0,0,0,0,0,0,0,0,0,3090295.433,1230268.771,1288249.552,1479108.388,1380384.265,1288249.552,3467368.505,3467368.505,3090295.433,3814105.356,3814105.356,3814105.356
SDSSJ0047+1628,He,0.6,-5.51,0,0,0,0,-8,0.2,0,0,-6.7,0.2,-8.85,0.192196419,-6.8,0.2,0,0,-8.98,0.171579321,0,0,0,0,0,0,2454708.916,933254.3008,1023292.992,1148153.621,1047128.548,1000000,2691534.804,2691534.804,2454708.916,2960688.284,2960688.284,2960688.284
SDSSJ0052+1846,He,0.6,-5.49,0,0,0,0,-9,0.3,0,0,-7.5,0.3,-9.55,0.325930142,-7.1,0.2,0,0,0,0,0,0,0,0,0,0,3235936.569,1096478.196,1348962.883,1318256.739,1202264.435,1148153.621,3630780.548,3630780.548,3235936.569,3993858.603,3993858.603,3993858.603
